,age,job,marital,education,balance,housing,loan,day,month,campaign
1842,31,blue-collar,married,secondary,1329,1,1,9,may,1
24254,39,blue-collar,married,primary,3324,0,0,17,nov,1
36775,35,admin.,single,secondary,10,0,1,12,may,1
13445,53,technician,single,secondary,-165,1,0,9,jul,1
8853,35,blue-collar,married,primary,300,1,0,4,jun,1
16804,33,technician,divorced,secondary,791,1,0,24,jul,2
41117,58,management,married,tertiary,1394,0,0,17,aug,1
32693,34,blue-collar,single,secondary,-317,1,0,17,apr,3
23094,45,admin.,married,secondary,434,0,0,26,aug,4
6941,53,admin.,married,secondary,614,1,0,28,may,2
28647,34,technician,married,secondary,1137,0,0,29,jan,2
44355,27,technician,single,secondary,842,0,0,30,jul,1
35793,39,admin.,married,primary,444,1,0,8,may,2
3756,29,services,single,secondary,-142,1,0,16,may,1
4294,32,blue-collar,single,secondary,1211,1,0,19,may,4
19775,32,technician,married,secondary,9608,0,0,8,aug,4
30852,33,technician,married,secondary,0,1,0,9,feb,2
35230,42,blue-collar,married,primary,1461,1,0,7,may,2
15039,40,admin.,married,secondary,-769,1,1,17,jul,1
22002,30,technician,single,secondary,790,0,0,20,aug,3
16987,30,technician,married,tertiary,71,1,0,25,jul,2
15171,33,services,married,secondary,70,0,0,17,jul,7
140,53,housemaid,divorced,primary,947,1,0,5,may,1
12811,45,management,single,secondary,-57,0,1,7,jul,1
35200,31,services,divorced,primary,459,1,0,7,may,1
21851,53,management,married,tertiary,15,0,0,20,aug,2
41090,35,management,single,tertiary,7218,0,0,14,aug,3
9567,53,technician,married,primary,44,0,0,6,jun,1
34931,30,blue-collar,single,secondary,-110,1,0,6,may,1
25250,38,technician,married,secondary,508,1,0,18,nov,3
9290,40,entrepreneur,married,primary,4674,0,0,5,jun,2
9302,47,admin.,married,secondary,407,1,0,5,jun,12
24953,35,admin.,married,secondary,0,1,1,18,nov,1
35478,28,admin.,single,secondary,697,1,0,7,may,2
24718,46,admin.,married,secondary,4958,1,0,17,nov,3
6417,41,blue-collar,married,secondary,153,1,0,27,may,1
45140,63,entrepreneur,married,secondary,3904,0,0,8,nov,1
14460,48,blue-collar,married,secondary,742,1,1,14,jul,4
32810,30,services,married,secondary,134,1,0,17,apr,1
27306,36,management,married,unknown,1597,1,0,21,nov,1
42171,53,admin.,married,secondary,10541,0,0,9,nov,1
25358,39,management,married,tertiary,9579,1,0,18,nov,3
23534,32,management,married,tertiary,0,0,0,28,aug,2
6768,24,technician,single,secondary,288,1,0,28,may,1
39380,30,management,married,tertiary,877,0,0,22,may,2
32607,35,technician,divorced,secondary,48,1,0,17,apr,1
18957,49,services,married,secondary,1122,0,0,4,aug,1
18209,36,services,married,secondary,0,1,0,30,jul,12
43091,64,retired,married,secondary,243,0,0,22,feb,1
31877,33,technician,single,secondary,719,1,0,9,apr,2
35476,27,student,single,secondary,8366,0,0,7,may,2
12641,57,retired,married,secondary,156,0,1,4,jul,2
8026,36,self-employed,single,tertiary,3560,0,0,2,jun,2
6221,30,management,single,tertiary,3773,1,0,27,may,1
14744,35,blue-collar,single,secondary,885,1,0,15,jul,6
17808,47,management,single,tertiary,8106,0,0,29,jul,3
17540,59,admin.,divorced,primary,0,1,0,29,jul,3
37496,33,blue-collar,married,primary,142,1,0,13,may,5
17949,38,technician,single,tertiary,2350,0,0,30,jul,2
5472,39,entrepreneur,divorced,secondary,1202,1,0,23,may,2
40303,30,admin.,married,secondary,124,0,0,16,jun,2
31488,41,blue-collar,married,secondary,0,1,0,1,apr,2
32032,82,housemaid,married,primary,2140,0,0,14,apr,6
15364,44,management,married,secondary,3286,1,0,18,jul,1
25429,42,blue-collar,married,secondary,681,1,0,18,nov,1
29091,32,services,single,secondary,6857,0,0,2,feb,1
29760,46,admin.,divorced,secondary,1342,1,0,4,feb,1
41098,27,admin.,single,secondary,1123,0,0,17,aug,1
42705,19,student,single,primary,103,0,0,18,jan,2
17929,49,technician,married,secondary,1091,0,0,30,jul,2
42517,31,management,single,tertiary,596,0,0,17,dec,6
21360,56,admin.,divorced,secondary,985,0,1,18,aug,2
35046,38,blue-collar,married,secondary,638,1,0,6,may,2
12577,47,admin.,married,secondary,1156,0,1,3,jul,5
33036,47,blue-collar,married,secondary,1388,1,0,17,apr,2
4219,42,unemployed,married,secondary,1990,1,1,19,may,1
11704,39,entrepreneur,married,secondary,0,0,0,20,jun,1
21893,34,technician,married,secondary,1194,0,1,20,aug,2
43868,30,technician,single,secondary,1165,0,0,4,jun,2
459,35,blue-collar,married,secondary,89,1,0,6,may,2
36639,43,blue-collar,married,primary,188,1,0,12,may,3
14103,31,services,single,secondary,183,1,0,11,jul,2
1619,35,technician,single,secondary,317,1,0,9,may,2
41415,45,housemaid,married,tertiary,40,1,0,3,sep,1
38197,42,blue-collar,single,primary,156,1,0,15,may,4
33399,25,technician,single,tertiary,184,1,1,20,apr,1
10168,58,unknown,married,unknown,0,0,0,11,jun,2
4342,54,technician,divorced,secondary,7449,1,0,19,may,7
4467,35,management,married,tertiary,440,1,0,20,may,1
13471,47,blue-collar,married,secondary,690,1,0,9,jul,1
26314,34,blue-collar,single,secondary,7541,0,0,20,nov,1
8221,41,technician,married,secondary,0,0,0,2,jun,3
681,40,services,divorced,secondary,105,1,0,6,may,2
20117,42,management,married,tertiary,687,0,0,11,aug,2
30559,32,blue-collar,divorced,primary,158,1,0,5,feb,4
19479,34,technician,divorced,tertiary,674,1,0,7,aug,2
21170,35,management,married,tertiary,-547,1,0,14,aug,2
27735,29,management,married,tertiary,805,0,0,28,jan,1
22643,33,management,married,tertiary,52,0,0,22,aug,1
44503,38,entrepreneur,single,secondary,2543,0,0,10,aug,1
14534,39,services,married,secondary,1930,1,0,15,jul,3
15961,29,blue-collar,married,secondary,210,0,1,22,jul,1
19414,39,technician,married,secondary,425,1,0,6,aug,3
17841,48,management,married,tertiary,14530,1,1,29,jul,10
30026,41,admin.,married,secondary,546,1,0,4,feb,2
16615,39,blue-collar,married,primary,85,1,0,24,jul,1
31594,41,services,single,secondary,-68,1,0,3,apr,3
27443,31,unknown,married,secondary,111,0,0,21,nov,2
28588,37,management,married,tertiary,410,0,0,29,jan,2
26435,37,admin.,single,secondary,862,0,0,20,nov,1
12899,32,admin.,single,secondary,212,0,0,7,jul,5
28877,51,unemployed,married,secondary,17418,1,0,30,jan,2
29920,27,self-employed,single,tertiary,451,0,0,4,feb,4
37081,46,blue-collar,single,secondary,521,1,0,13,may,1
21265,45,blue-collar,married,primary,185,0,0,18,aug,14
44133,43,admin.,single,secondary,386,0,0,12,jul,3
1951,25,admin.,married,secondary,10,1,0,9,may,2
2495,54,admin.,divorced,secondary,1814,0,0,13,may,1
43997,27,student,single,secondary,833,0,0,25,jun,5
30091,28,services,single,primary,198,0,0,4,feb,2
1461,46,admin.,married,secondary,1069,1,0,8,may,2
5550,33,blue-collar,married,secondary,-346,1,1,23,may,3
27705,49,admin.,single,secondary,981,1,0,21,nov,3
39709,42,management,married,tertiary,261,0,0,27,may,5
41835,37,services,married,secondary,1960,1,1,15,oct,5
26249,47,admin.,single,primary,683,0,0,20,nov,1
3705,43,admin.,single,secondary,2539,1,0,16,may,4
10734,55,blue-collar,married,primary,835,1,0,16,jun,18
37385,40,blue-collar,married,secondary,125,1,0,13,may,2
666,35,admin.,single,secondary,148,1,0,6,may,2
29862,51,technician,married,secondary,536,1,1,4,feb,1
27990,33,technician,single,secondary,0,1,0,28,jan,2
13674,44,entrepreneur,married,tertiary,0,1,0,9,jul,1
21701,33,technician,married,secondary,18,0,1,19,aug,18
30338,36,self-employed,single,tertiary,351,0,0,5,feb,1
13441,59,unemployed,married,tertiary,6,1,0,9,jul,1
14947,43,technician,married,secondary,381,1,0,16,jul,6
32838,54,self-employed,married,secondary,641,1,0,17,apr,1
21357,43,management,married,tertiary,1253,0,1,18,aug,3
13845,56,services,married,primary,966,0,1,10,jul,1
33280,31,management,single,tertiary,775,1,0,20,apr,1
11027,38,services,single,unknown,1610,1,0,17,jun,6
9065,39,technician,single,secondary,681,1,0,5,jun,1
41870,62,retired,married,primary,1515,1,0,19,oct,1
12334,52,admin.,married,secondary,192,0,1,26,jun,1
29523,59,retired,divorced,secondary,514,0,0,3,feb,1
23977,48,blue-collar,married,secondary,1903,0,0,29,aug,6
22908,31,technician,married,secondary,0,0,0,25,aug,6
40927,19,student,single,primary,56,0,0,12,aug,1
39837,41,management,married,tertiary,10758,1,0,1,jun,1
869,52,self-employed,married,secondary,273,0,0,7,may,1
8274,42,technician,married,secondary,-887,0,0,2,jun,4
4927,48,technician,divorced,tertiary,-136,1,0,21,may,12
32817,36,technician,single,secondary,-487,1,0,17,apr,1
42031,38,technician,single,tertiary,1727,0,0,28,oct,2
41216,47,management,married,tertiary,0,0,1,21,aug,1
1888,29,technician,single,tertiary,542,1,0,9,may,3
13690,27,unemployed,single,primary,9,0,1,9,jul,2
23310,32,admin.,married,tertiary,157,0,0,27,aug,4
37947,29,management,single,tertiary,-11,1,0,14,may,2
10285,55,blue-collar,married,secondary,0,0,0,12,jun,2
13045,60,management,married,primary,75,0,1,8,jul,1
25650,56,retired,single,tertiary,352,0,0,19,nov,1
26400,31,entrepreneur,married,secondary,1539,1,1,20,nov,6
25904,57,management,married,tertiary,1172,0,0,19,nov,3
42576,32,management,single,tertiary,718,1,0,29,dec,1
6218,36,entrepreneur,married,tertiary,271,1,0,27,may,2
4776,38,blue-collar,married,secondary,1663,1,0,21,may,1
31158,43,unemployed,single,tertiary,983,1,0,26,feb,1
43701,27,blue-collar,single,secondary,535,0,0,13,may,1
4725,38,blue-collar,married,secondary,526,1,0,20,may,2
3536,45,blue-collar,married,primary,810,1,0,15,may,4
3737,39,management,married,tertiary,0,1,1,16,may,2
23588,52,technician,married,tertiary,0,0,0,28,aug,15
1742,39,blue-collar,single,secondary,217,1,0,9,may,1
35416,34,services,married,secondary,-99,1,1,7,may,2
19252,50,blue-collar,married,secondary,616,1,0,6,aug,6
28348,44,management,married,tertiary,149,1,0,29,jan,1
41428,57,management,divorced,tertiary,6468,1,0,4,sep,1
36615,48,services,single,primary,1499,1,0,12,may,7
3822,27,entrepreneur,married,secondary,554,1,0,16,may,1
29339,36,admin.,married,secondary,304,1,0,2,feb,3
30490,37,management,married,tertiary,-491,1,0,5,feb,2
15173,34,admin.,married,tertiary,1,1,0,17,jul,3
43574,55,technician,married,tertiary,1320,0,0,28,apr,2
6844,44,management,married,tertiary,0,1,0,28,may,1
72,54,management,married,secondary,282,1,1,5,may,1
9672,41,self-employed,married,primary,340,0,0,6,jun,3
4606,37,entrepreneur,married,tertiary,4798,1,0,20,may,2
40780,44,management,divorced,tertiary,0,0,0,10,aug,1
39493,34,management,single,tertiary,5086,0,0,25,may,4
32059,40,technician,single,tertiary,1175,0,0,14,apr,1
21590,36,management,married,tertiary,61,0,1,19,aug,2
3191,50,blue-collar,married,primary,5131,1,0,15,may,2
42629,47,admin.,single,secondary,3696,0,0,12,jan,4
42741,36,technician,married,tertiary,6,1,0,27,jan,1
1574,44,blue-collar,married,secondary,138,1,0,8,may,3
856,47,blue-collar,married,secondary,387,1,0,7,may,2
10825,43,management,married,tertiary,439,0,0,17,jun,1
13600,40,blue-collar,married,secondary,252,1,1,9,jul,3
32567,35,blue-collar,married,secondary,293,1,0,17,apr,1
6562,36,blue-collar,married,primary,8326,1,0,27,may,4
37142,36,blue-collar,married,primary,828,0,0,13,may,1
41629,49,self-employed,married,tertiary,1791,0,0,25,sep,1
44620,69,technician,married,secondary,2661,0,0,1,sep,1
38362,31,admin.,divorced,secondary,-254,1,0,15,may,2
15710,44,technician,divorced,secondary,316,1,0,21,jul,3
9882,45,blue-collar,married,primary,665,0,0,9,jun,2
26982,46,entrepreneur,married,primary,829,0,1,21,nov,7
26575,57,services,married,secondary,1556,1,0,20,nov,1
36352,34,admin.,single,secondary,395,1,0,11,may,2
13286,25,technician,divorced,secondary,86,0,1,8,jul,2
16555,45,blue-collar,married,primary,0,1,0,24,jul,1
16596,37,entrepreneur,married,primary,-204,1,0,24,jul,1
29899,34,blue-collar,single,secondary,783,1,0,4,feb,1
36033,41,self-employed,married,tertiary,355,1,0,11,may,1
2594,26,services,single,secondary,8206,1,0,13,may,2
1808,26,management,single,tertiary,1326,1,0,9,may,1
12517,32,blue-collar,single,secondary,-255,0,1,2,jul,3
39702,44,management,married,tertiary,7818,0,0,27,may,1
39027,30,services,married,secondary,1256,1,0,18,may,3
37317,47,blue-collar,married,primary,-169,0,1,13,may,1
2619,44,services,married,secondary,29312,0,0,13,may,1
20739,32,management,single,tertiary,297,0,0,13,aug,2
22008,47,services,married,secondary,1717,0,0,20,aug,9
251,53,blue-collar,married,secondary,0,1,1,5,may,1
35134,39,self-employed,married,secondary,1304,1,1,7,may,3
12796,32,admin.,married,secondary,1604,0,1,7,jul,1
31333,58,self-employed,married,tertiary,5810,0,0,12,mar,1
38858,26,technician,single,secondary,3519,1,0,18,may,1
3135,43,technician,single,secondary,28,1,0,14,may,4
780,30,admin.,married,secondary,4,0,0,7,may,8
20776,33,management,married,tertiary,296,0,0,13,aug,4
22061,31,management,married,tertiary,1170,0,0,20,aug,4
22848,36,management,single,tertiary,1841,1,0,25,aug,4
29517,27,student,single,tertiary,32,0,0,3,feb,1
461,39,blue-collar,married,primary,0,1,0,6,may,2
7474,40,blue-collar,married,secondary,271,1,0,29,may,2
1978,57,blue-collar,married,secondary,221,1,0,9,may,2
3306,51,management,single,tertiary,6510,0,0,15,may,1
18347,45,self-employed,married,secondary,830,0,0,31,jul,2
43739,33,management,single,tertiary,2364,0,0,17,may,1
39848,34,management,divorced,tertiary,2466,0,0,2,jun,1
1646,35,blue-collar,single,secondary,40,1,0,9,may,4
32349,42,technician,divorced,secondary,214,0,0,16,apr,1
11163,60,retired,married,secondary,1524,0,0,18,jun,1
27623,45,blue-collar,married,secondary,392,1,0,21,nov,2
4100,49,technician,married,secondary,4667,1,0,19,may,2
8785,27,management,single,tertiary,648,1,1,4,jun,1
37936,49,blue-collar,married,secondary,1039,1,0,14,may,2
32794,32,technician,single,secondary,801,1,0,17,apr,1
498,44,blue-collar,married,secondary,-99,1,0,6,may,2
16416,26,entrepreneur,married,secondary,321,1,1,23,jul,2
12978,48,self-employed,married,secondary,252,0,0,7,jul,5
14472,47,entrepreneur,married,tertiary,3659,0,0,14,jul,4
3147,46,self-employed,married,secondary,0,1,1,14,may,5
36528,37,blue-collar,married,secondary,2364,1,0,12,may,4
24443,36,management,married,tertiary,441,1,1,17,nov,2
9114,38,management,divorced,tertiary,4207,0,0,5,jun,1
16993,46,management,married,unknown,802,1,0,25,jul,1
10471,50,technician,married,tertiary,917,0,0,16,jun,2
18312,37,management,married,unknown,62,1,0,31,jul,4
295,56,technician,divorced,primary,13,1,0,5,may,2
8327,23,blue-collar,single,secondary,27,1,0,2,jun,2
7714,44,technician,single,secondary,2403,1,0,30,may,1
13793,32,blue-collar,single,secondary,1143,1,1,10,jul,1
36736,39,management,single,tertiary,202,1,0,12,may,1
21866,52,technician,divorced,secondary,511,0,1,20,aug,4
42256,43,services,single,secondary,3403,1,0,12,nov,2
11106,37,services,single,secondary,2657,1,0,18,jun,1
7500,38,management,single,tertiary,6836,1,0,29,may,4
14231,29,services,married,secondary,10,1,0,14,jul,2
3652,45,blue-collar,married,unknown,110,1,0,15,may,4
18563,43,management,divorced,tertiary,439,1,0,31,jul,3
717,39,blue-collar,married,secondary,607,1,0,6,may,2
24147,23,admin.,single,secondary,40,0,0,10,nov,1
44121,27,student,divorced,unknown,383,0,0,9,jul,1
19743,53,services,married,secondary,1713,1,0,7,aug,3
34554,31,management,married,tertiary,451,1,0,5,may,1
44546,44,technician,divorced,secondary,314,1,0,12,aug,1
22844,32,management,single,tertiary,1882,0,0,25,aug,5
28015,42,technician,married,secondary,799,0,0,28,jan,1
9261,37,self-employed,single,tertiary,281,1,0,5,jun,2
21283,43,management,divorced,tertiary,-173,0,1,18,aug,7
1997,34,admin.,divorced,primary,9569,1,0,9,may,2
21640,52,self-employed,married,tertiary,605,0,0,19,aug,4
35266,39,blue-collar,married,secondary,0,1,0,7,may,1
14190,34,blue-collar,married,secondary,157,1,0,11,jul,2
17335,29,services,single,secondary,553,0,1,28,jul,5
13197,29,blue-collar,married,secondary,-478,0,1,8,jul,2
2339,22,services,single,secondary,395,1,0,13,may,1
35670,56,admin.,divorced,unknown,789,1,0,8,may,1
5004,36,management,single,tertiary,247,0,0,21,may,5
27180,37,management,married,tertiary,489,1,0,21,nov,1
38190,48,management,married,tertiary,-13,1,0,15,may,6
33626,51,blue-collar,married,primary,2832,1,0,20,apr,4
37164,27,services,single,secondary,468,1,0,13,may,1
5162,38,blue-collar,married,secondary,622,1,0,21,may,2
5184,32,management,married,tertiary,3696,0,0,21,may,3
40619,66,retired,married,primary,12767,0,0,4,aug,2
22645,50,services,married,secondary,26394,0,0,25,aug,4
16455,42,technician,married,secondary,-470,1,1,23,jul,10
39662,47,admin.,divorced,secondary,2232,0,0,27,may,1
15836,35,management,married,tertiary,0,1,0,21,jul,3
23787,47,blue-collar,married,primary,961,0,0,29,aug,11
26518,54,management,divorced,secondary,300,1,0,20,nov,2
39251,34,blue-collar,married,primary,-1,1,0,18,may,6
41030,49,technician,married,tertiary,1235,0,0,13,aug,3
33572,37,blue-collar,married,secondary,56,1,0,20,apr,2
29597,27,unemployed,single,tertiary,1,0,0,3,feb,2
14364,34,entrepreneur,married,tertiary,146,1,0,14,jul,2
42719,27,student,single,secondary,2015,0,0,25,jan,1
24085,50,management,single,tertiary,3537,0,0,24,oct,1
28053,51,unemployed,divorced,primary,2244,0,0,28,jan,2
34311,45,technician,married,secondary,280,1,0,4,may,3
10436,36,entrepreneur,married,primary,6317,0,0,12,jun,2
42089,22,student,single,secondary,1522,0,0,30,oct,2
10433,42,unemployed,married,secondary,583,1,0,12,jun,6
9421,60,retired,married,primary,22018,0,0,6,jun,2
32815,36,blue-collar,single,unknown,185,1,1,17,apr,2
22481,46,entrepreneur,married,tertiary,1920,0,0,22,aug,6
16254,34,admin.,married,secondary,804,1,0,23,jul,9
27475,32,admin.,single,secondary,540,1,0,21,nov,2
42648,40,management,married,tertiary,5142,0,0,13,jan,2
7717,42,entrepreneur,married,tertiary,287,1,1,30,may,2
14229,33,technician,married,secondary,162,1,1,14,jul,2
41255,40,unemployed,married,tertiary,2430,0,0,24,aug,2
20902,42,management,married,tertiary,17,0,0,13,aug,6
6370,26,blue-collar,married,secondary,284,1,0,27,may,1
4234,31,self-employed,married,secondary,157,1,0,19,may,1
42202,33,management,married,tertiary,1388,1,0,10,nov,1
7053,24,self-employed,single,tertiary,931,1,0,28,may,4
12287,50,blue-collar,married,secondary,-253,0,0,25,jun,1
25950,38,blue-collar,married,primary,2240,1,0,19,nov,1
21886,30,management,married,tertiary,1390,0,0,20,aug,4
38022,41,admin.,divorced,secondary,783,1,1,14,may,3
3318,51,self-employed,divorced,secondary,154,1,0,15,may,1
5465,36,admin.,married,secondary,176,1,0,23,may,1
12701,41,services,married,secondary,650,1,0,7,jul,5
14708,36,entrepreneur,married,secondary,185,1,0,15,jul,2
591,38,technician,married,secondary,581,1,0,6,may,1
24537,32,management,married,tertiary,6274,1,0,17,nov,2
34031,29,admin.,single,secondary,719,0,0,30,apr,1
21742,30,management,married,tertiary,151,0,0,19,aug,4
12205,36,technician,married,tertiary,-718,1,0,20,jun,20
30633,26,management,single,tertiary,2722,0,0,6,feb,1
7420,28,services,single,secondary,6332,1,0,29,may,4
39405,33,student,single,unknown,86,0,0,22,may,1
44169,23,student,single,secondary,1298,0,0,14,jul,1
9704,39,technician,single,unknown,75,0,0,6,jun,1
14957,37,blue-collar,married,primary,61,1,0,16,jul,3
33573,29,management,single,tertiary,11968,1,0,20,apr,2
30701,30,student,single,tertiary,300,0,0,6,feb,1
35996,54,blue-collar,married,primary,428,1,0,8,may,1
42918,58,unemployed,married,secondary,1625,0,0,5,feb,2
29901,47,technician,married,secondary,-75,1,0,4,feb,1
14906,39,services,married,secondary,1323,1,1,16,jul,1
13746,32,technician,married,tertiary,113,0,1,10,jul,1
41561,74,retired,married,primary,1765,0,0,11,sep,2
41933,31,blue-collar,single,unknown,6281,0,0,22,oct,1
30012,32,technician,divorced,secondary,202,1,0,4,feb,1
28533,36,technician,married,secondary,1508,0,0,29,jan,2
28102,46,technician,single,unknown,578,0,0,28,jan,3
30560,43,unemployed,married,secondary,511,1,1,5,feb,5
31526,47,blue-collar,married,secondary,1612,1,0,2,apr,1
8677,37,blue-collar,single,secondary,277,1,0,3,jun,6
11198,48,retired,married,primary,5173,1,0,18,jun,8
11788,36,management,married,tertiary,1355,1,0,20,jun,8
30847,53,blue-collar,divorced,primary,559,0,0,9,feb,5
38271,35,housemaid,married,tertiary,1265,1,0,15,may,5
1785,36,blue-collar,married,secondary,-9,1,0,9,may,3
18617,45,blue-collar,married,unknown,5640,1,0,31,jul,9
13887,56,retired,divorced,secondary,275,1,1,10,jul,1
42472,32,management,divorced,tertiary,883,1,0,10,dec,1
32078,32,management,single,tertiary,574,1,0,14,apr,2
45002,36,management,single,tertiary,2646,0,0,13,oct,1
6615,42,services,married,secondary,-262,0,0,28,may,3
6631,26,technician,single,secondary,668,1,0,28,may,3
32885,30,management,single,tertiary,3392,1,0,17,apr,2
23452,59,management,married,tertiary,1585,0,0,28,aug,5
33521,58,services,divorced,secondary,739,1,0,20,apr,7
14964,34,blue-collar,married,primary,425,1,0,16,jul,7
43065,28,technician,single,secondary,154,1,0,18,feb,2
17081,31,housemaid,single,secondary,0,1,0,25,jul,4
23503,35,technician,married,secondary,0,0,0,28,aug,14
29914,33,unemployed,single,tertiary,3805,1,0,4,feb,1
10430,37,technician,single,secondary,18,0,0,12,jun,2
16459,28,technician,single,secondary,390,0,1,23,jul,2
25532,38,admin.,single,secondary,2600,1,0,19,nov,1
26792,38,management,married,secondary,96,1,0,20,nov,3
5614,37,entrepreneur,married,tertiary,0,0,0,23,may,3
41058,28,admin.,single,tertiary,373,1,0,14,aug,1
23491,52,management,married,tertiary,168,0,0,28,aug,4
28571,41,blue-collar,married,secondary,140,1,0,29,jan,2
35702,35,blue-collar,married,primary,0,1,0,8,may,1
9404,30,management,single,tertiary,329,1,0,6,jun,16
26621,43,management,married,primary,0,1,1,20,nov,3
36773,28,technician,single,secondary,1453,1,0,12,may,1
34142,29,management,single,tertiary,2753,0,0,30,apr,1
31560,35,admin.,married,secondary,3187,1,0,3,apr,1
31879,33,services,married,secondary,-329,1,0,9,apr,1
10116,49,services,divorced,secondary,725,0,0,11,jun,2
26034,39,admin.,married,secondary,-982,1,1,19,nov,3
33109,34,blue-collar,married,secondary,2076,1,0,20,apr,1
35061,44,technician,married,unknown,-375,1,1,6,may,4
14700,28,admin.,married,secondary,317,1,0,15,jul,2
3628,35,technician,single,tertiary,1455,1,0,15,may,6
36603,31,blue-collar,married,primary,63,1,0,12,may,1
7111,37,blue-collar,married,secondary,-4,1,1,29,may,1
14501,44,management,married,tertiary,58,1,0,14,jul,3
31301,52,management,married,tertiary,31,0,0,10,mar,1
26189,54,entrepreneur,divorced,tertiary,20527,0,0,20,nov,1
3213,45,blue-collar,married,secondary,4509,1,0,15,may,1
7819,27,services,single,secondary,2153,1,0,30,may,6
22200,45,blue-collar,married,secondary,1179,0,0,21,aug,6
2715,51,technician,married,secondary,330,1,0,13,may,4
22253,53,technician,single,tertiary,1,0,0,21,aug,1
19070,32,management,married,tertiary,3158,0,1,5,aug,1
3533,34,blue-collar,married,unknown,-17,1,0,15,may,7
39079,36,housemaid,single,secondary,1015,1,0,18,may,1
9474,51,self-employed,married,primary,8313,0,0,6,jun,1
37976,38,blue-collar,married,secondary,1731,1,1,14,may,2
6957,34,technician,married,secondary,6,1,0,28,may,2
16885,53,blue-collar,married,primary,343,1,0,25,jul,5
5546,40,blue-collar,married,primary,278,1,0,23,may,3
34620,34,services,divorced,secondary,-258,1,0,5,may,1
38264,57,admin.,married,secondary,-967,1,0,15,may,7
6158,32,admin.,married,secondary,17,1,0,27,may,1
18990,44,unknown,married,secondary,2319,0,0,4,aug,3
10029,44,self-employed,married,tertiary,3295,0,0,9,jun,4
40222,25,technician,single,tertiary,3630,0,0,9,jun,7
36574,36,blue-collar,single,secondary,168,1,0,12,may,1
34392,31,student,married,secondary,200,1,0,4,may,5
43127,34,technician,married,tertiary,31,0,0,24,feb,1
9432,36,management,single,tertiary,624,1,0,6,jun,3
26138,52,blue-collar,married,secondary,8979,1,0,20,nov,3
37133,28,admin.,divorced,secondary,451,1,0,13,may,1
28217,41,admin.,single,secondary,1322,1,0,29,jan,1
28810,53,services,divorced,tertiary,329,0,0,30,jan,1
24693,48,technician,married,tertiary,1036,1,1,17,nov,2
5953,43,management,married,tertiary,-69,1,0,26,may,2
44688,83,housemaid,married,primary,2140,0,0,6,sep,3
44630,55,admin.,married,secondary,8304,0,0,1,sep,1
33104,36,admin.,single,secondary,733,1,0,20,apr,1
15205,26,self-employed,married,tertiary,10005,1,0,17,jul,2
4291,36,blue-collar,married,primary,2079,1,1,19,may,2
18340,42,management,married,tertiary,4617,1,0,31,jul,2
18146,40,admin.,married,secondary,-444,0,1,30,jul,8
38669,46,services,married,secondary,-119,1,0,15,may,2
38717,27,student,single,tertiary,4869,1,0,15,may,2
3499,43,blue-collar,married,secondary,4520,1,0,15,may,4
4394,32,services,single,secondary,228,1,0,20,may,1
28103,30,technician,single,secondary,800,0,0,28,jan,2
44753,40,management,married,tertiary,4675,0,0,9,sep,1
17264,28,admin.,married,secondary,157,1,1,28,jul,2
16848,48,management,divorced,tertiary,64,0,1,25,jul,6
7502,36,blue-collar,married,primary,-1168,1,0,29,may,7
4337,60,retired,married,secondary,819,1,0,19,may,2
30816,31,admin.,single,secondary,476,0,0,9,feb,2
41967,59,retired,married,primary,3648,0,0,23,oct,2
14066,31,blue-collar,single,secondary,-161,0,0,11,jul,2
39382,36,technician,single,secondary,54,0,0,22,may,1
7971,41,services,married,secondary,-141,1,1,2,jun,3
23545,50,blue-collar,married,primary,403,0,0,28,aug,6
13448,30,management,single,secondary,1090,1,0,9,jul,1
4675,36,blue-collar,married,primary,408,1,1,20,may,2
13742,53,technician,married,secondary,768,1,0,10,jul,1
25390,32,technician,single,tertiary,4432,0,0,18,nov,4
7827,49,blue-collar,married,secondary,366,1,1,30,may,3
28536,28,student,single,secondary,24,1,0,29,jan,2
17419,43,housemaid,married,primary,59,0,1,28,jul,2
35931,27,admin.,single,secondary,3,1,0,8,may,2
43435,36,technician,single,secondary,12264,0,0,12,apr,2
2926,57,services,married,secondary,6874,1,0,14,may,1
19156,45,services,married,secondary,0,0,0,5,aug,2
38646,37,blue-collar,married,primary,-137,1,0,15,may,5
42073,41,unemployed,married,tertiary,0,0,0,30,oct,3
43934,28,management,single,tertiary,2725,0,0,16,jun,1
41306,28,management,single,tertiary,223,1,0,27,aug,2
26805,35,admin.,single,secondary,1070,0,0,20,nov,2
34167,34,management,married,tertiary,3047,0,0,30,apr,1
32168,54,blue-collar,divorced,primary,2656,1,0,15,apr,2
28629,28,admin.,single,secondary,775,0,0,29,jan,2
18666,54,services,married,primary,198,1,0,31,jul,3
25096,42,management,married,tertiary,2110,0,1,18,nov,1
12451,39,blue-collar,married,secondary,971,1,1,1,jul,3
33702,55,blue-collar,married,primary,3873,0,0,21,apr,1
27042,57,management,married,tertiary,0,1,0,21,nov,1
31943,36,technician,married,secondary,569,1,0,9,apr,1
38739,32,management,married,tertiary,91,0,0,18,may,2
8784,35,entrepreneur,married,secondary,2008,0,0,4,jun,6
21381,51,management,single,tertiary,-55,1,0,18,aug,6
8305,35,blue-collar,married,primary,828,0,0,2,jun,8
41438,26,technician,single,secondary,1231,1,0,4,sep,1
